####################################################################################################
#                                                                                                  #
# ################################################################################################ #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
o #                                                                                              # x
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# #                                                                                              # #
# ############################################# ################################################## #
#                                                                                                  #
####################################################################################################
