@relation adult-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z5.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z30.0-no-replacement

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute edu_num numeric
@attribute marital {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute cap_gain numeric
@attribute cap_loss numeric
@attribute hr_per_wk numeric
@attribute native {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute class {' <=50K',' >50K'}

@data
49,' Self-emp-inc',191681,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
19,' Private',101509,' Some-college',10,' Never-married',' Prof-specialty',' Own-child',' White',' Male',0,0,32,' United-States',' <=50K'
30,' Private',117747,' HS-grad',9,' Married-civ-spouse',' Sales',' Wife',' Asian-Pac-Islander',' Female',0,1573,35,' ?',' <=50K'
31,' Local-gov',189265,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
61,' Self-emp-inc',66614,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
27,' Private',232782,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
35,' Private',36270,' HS-grad',9,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
60,' ?',24215,' 10th',6,' Divorced',' ?',' Not-in-family',' Amer-Indian-Eskimo',' Female',0,0,10,' United-States',' <=50K'
23,' ?',211601,' Assoc-voc',11,' Never-married',' ?',' Own-child',' Black',' Female',0,0,15,' United-States',' <=50K'
26,' Private',192262,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' Private',227689,' Assoc-voc',11,' Divorced',' Tech-support',' Not-in-family',' White',' Female',0,0,64,' United-States',' <=50K'
46,' Private',188386,' Doctorate',16,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',15024,0,60,' United-States',' >50K'
38,' Self-emp-inc',99146,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',15024,0,80,' United-States',' >50K'
36,' Local-gov',339772,' HS-grad',9,' Separated',' Exec-managerial',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
45,' Private',462440,' 11th',7,' Widowed',' Other-service',' Not-in-family',' Black',' Female',0,0,20,' United-States',' <=50K'
34,' Private',136721,' HS-grad',9,' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
61,' Private',125155,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' Private',122116,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
65,' Private',207281,' Some-college',10,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,16,' United-States',' <=50K'
24,' Private',38455,' Some-college',10,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
53,' Self-emp-not-inc',196328,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' Black',' Male',0,0,45,' United-States',' >50K'
71,' Private',105200,' HS-grad',9,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',6767,0,20,' United-States',' <=50K'
26,' Private',167350,' Some-college',10,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',3103,0,40,' United-States',' >50K'
52,' Private',185407,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' ?',' <=50K'
32,' Private',157287,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
48,' Private',119565,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
20,' Private',171398,' 10th',6,' Never-married',' Sales',' Not-in-family',' Other',' Male',0,0,40,' United-States',' <=50K'
54,' Private',240542,' Some-college',10,' Divorced',' Sales',' Unmarried',' White',' Female',0,0,48,' United-States',' <=50K'
