@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_clustered'

@attribute Instance_number numeric
@attribute 1_day numeric
@attribute 30_day numeric
@attribute 60_day numeric
@attribute month numeric
@attribute underwriter=barclays numeric
@attribute 'underwriter=BofA Merrill Lynch' numeric
@attribute underwriter=citi numeric
@attribute 'underwriter=Credit Suisse' numeric
@attribute 'underwriter=Deutsche Bank?' numeric
@attribute 'underwriter=Goldman Sach' numeric
@attribute 'underwriter=J.P. Morgan' numeric
@attribute 'underwriter=Morgan Stanley' numeric
@attribute underwriter=other numeric
@attribute grade1 {T,F}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11}

@data
0,18.2,26.45,23.41,10,1,0,0,0,0,0,0,0,0,T,cluster5
1,-7.5,-10.6,-12.3,10,1,0,0,0,0,0,0,0,0,T,cluster5
2,2.25,41.25,49,1,1,0,0,0,0,0,0,0,0,T,cluster5
3,-8.43,21.36,24.79,11,1,0,0,0,0,0,0,0,0,F,cluster6
4,0,2.18,11.59,10,1,0,0,0,0,0,0,0,0,T,cluster5
5,-1.39,-5.72,-1.94,10,1,0,0,0,0,0,0,0,0,T,cluster5
6,2,0.9,2,10,0,1,0,0,0,0,0,0,0,T,cluster8
7,13.29,18,32.35,10,0,1,0,0,0,0,0,0,0,T,cluster8
8,-3.28,0,9.78,11,0,1,0,0,0,0,0,0,0,T,cluster8
9,56.19,61.94,62.5,10,0,1,0,0,0,0,0,0,0,F,cluster8
10,4.44,22.39,39.61,10,0,1,0,0,0,0,0,0,0,T,cluster8
11,119.79,89.57,101.93,10,0,1,0,0,0,0,0,0,0,F,cluster8
12,14.06,7.62,5.62,10,0,1,0,0,0,0,0,0,0,F,cluster8
13,28.4,51.13,95.6,11,0,1,0,0,0,0,0,0,0,F,cluster8
14,9.55,17.77,13.64,10,0,1,0,0,0,0,0,0,0,T,cluster8
15,0,1,11.79,11,0,0,1,0,0,0,0,0,0,T,cluster1
16,0.2,0.2,0.4,11,0,0,1,0,0,0,0,0,0,T,cluster1
17,8.5,52.6,41,2,0,0,1,0,0,0,0,0,0,T,cluster1
18,11.83,14.33,17.25,10,0,0,1,0,0,0,0,0,0,T,cluster1
19,-8.33,87.08,48.92,2,0,0,1,0,0,0,0,0,0,T,cluster1
20,-3.13,16.12,22.37,11,0,0,1,0,0,0,0,0,0,T,cluster1
21,10.91,23.91,32.73,1,0,0,1,0,0,0,0,0,0,T,cluster1
22,5,5.63,-3.17,1,0,0,1,0,0,0,0,0,0,F,cluster1
23,10.94,11.76,21.76,12,0,0,0,1,0,0,0,0,0,T,cluster10
24,-9.6,-7.65,-4.3,1,0,0,0,1,0,0,0,0,0,T,cluster10
25,51.64,61.45,59.82,12,0,0,0,1,0,0,0,0,0,T,cluster10
26,76.88,82.71,81.82,12,0,0,0,0,1,0,0,0,0,T,cluster11
27,-5.5,-8,-7.5,11,0,0,0,0,1,0,0,0,0,F,cluster6
28,7.5,8.45,7.05,12,0,0,0,0,1,0,0,0,0,T,cluster11
29,17.27,54.09,59.27,11,0,0,0,0,1,0,0,0,0,T,cluster11
30,16.36,28.73,20.55,2,0,0,0,0,1,0,0,0,0,F,cluster6
31,19.35,19.7,25.25,11,0,0,0,0,1,0,0,0,0,F,cluster6
32,-0.06,9.41,9.24,2,0,0,0,0,1,0,0,0,0,T,cluster11
33,0.2,0.6,0.5,1,0,0,0,0,1,0,0,0,0,T,cluster11
34,53.92,130.23,235,11,0,0,0,0,1,0,0,0,0,T,cluster11
35,13.5,23.9,32.25,12,0,0,0,0,0,1,0,0,0,T,cluster0
36,-3.9,-6,-8.2,12,0,0,0,0,0,1,0,0,0,T,cluster0
37,-6.25,3.42,19.58,10,0,0,0,0,0,1,0,0,0,T,cluster0
38,23.53,27.88,39.12,10,0,0,0,0,0,1,0,0,0,F,cluster4
39,0.77,7.77,11.15,10,0,0,0,0,0,1,0,0,0,T,cluster0
40,32.17,32.42,48.67,11,0,0,0,0,0,1,0,0,0,T,cluster0
41,61.57,81.71,116.95,12,0,0,0,0,0,1,0,0,0,F,cluster4
42,40,42.69,22.62,9,0,0,0,0,0,1,0,0,0,F,cluster4
