@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A14-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute grade1 {T,F}

@data
0.029536,-0.032082,0.13469,0.185511,-0.073005,-0.105197,-0.031939,0.133032,-0.037007,-0.038044,0.225297,-0.021442,-0.143354,T
0.028848,-0.046612,0.152311,0.143028,-0.084616,-0.095408,-0.032694,0.114802,-0.020938,-0.036937,0.253177,0.029149,-0.144656,T
0.102414,0.030471,0.069994,0.227427,-0.122966,-0.150326,-0.140393,-0.086197,-0.051652,-0.012357,0.214815,-0.060255,-0.176803,T
0.04064,-0.01892,0.130425,0.159311,-0.053231,-0.104828,-0.105772,0.127597,0.006307,-0.025821,0.224998,0.011309,-0.159294,F
0.024855,-0.027598,0.136649,0.159295,-0.079172,-0.112754,-0.048475,0.117102,-0.03639,-0.007532,0.234745,0.017333,-0.1519,T
0.023897,-0.03952,0.14623,0.151929,-0.084323,-0.104005,-0.03026,0.118696,-0.034198,-0.021923,0.244968,0.022531,-0.146284,T
-0.044323,0.079623,0.096221,-0.180573,-0.1137,-0.040419,0.075993,-0.033134,0.155738,-0.021235,0.030179,-0.146071,-0.050302,T
-0.050008,0.102587,0.076893,-0.158242,-0.107225,-0.061827,0.060309,-0.02842,0.13447,0.01414,0.006676,-0.163518,-0.058307,T
-0.050417,0.088093,0.093108,-0.187745,-0.103025,-0.046653,0.055129,-0.018319,0.160445,0.000254,0.023669,-0.132841,-0.056844,T
-0.054359,0.099665,0.069092,-0.101409,-0.101251,-0.060261,0.111056,0.008552,0.105467,-0.016633,-0.017834,-0.238227,-0.042305,F
-0.040919,0.113638,0.069153,-0.161349,-0.098876,-0.065012,0.021591,-0.039014,0.151398,0.019764,0.001842,-0.158824,-0.066834,T
-0.098802,0.103428,0.057869,-0.033847,-0.117269,-0.089504,0.231687,0.064368,-0.002794,0.023617,-0.051467,-0.30641,-0.023291,F
-0.049344,0.075334,0.097315,-0.168025,-0.115987,-0.039744,0.101271,-0.021676,0.142156,-0.02754,0.026823,-0.162277,-0.044086,F
-0.063284,0.152098,0.038673,-0.123636,-0.082757,-0.104342,0.007089,-0.005223,0.10601,0.092872,-0.042675,-0.185284,-0.079038,F
-0.038203,0.082956,0.090744,-0.165358,-0.106302,-0.038635,0.068652,-0.028009,0.161099,-0.034461,0.02132,-0.167606,-0.049353,T
0.069103,-0.018993,-0.110279,-0.179222,0.183166,-0.079948,0.085078,0.120793,-0.099084,-0.0042,0.124429,0.000199,-0.007801,T
0.073406,-0.031911,-0.10124,-0.181988,0.18188,-0.066849,0.09829,0.123554,-0.08872,-0.031597,0.133153,-0.003482,-0.001057,T
0.158544,0.02183,-0.167417,-0.103134,0.143542,-0.095672,0.007026,-0.074258,-0.093441,-0.062446,0.110841,-0.100512,-0.021577,T
0.076654,-0.02012,-0.114644,-0.159048,0.177643,-0.078246,0.098679,0.109708,-0.106688,-0.023158,0.120756,-0.027854,-0.002771,T
0.206776,0.026198,-0.174768,-0.09958,0.176205,-0.068045,-0.088362,-0.092957,-0.005508,-0.13637,0.107119,-0.124998,-0.028813,T
0.083195,-0.010977,-0.118001,-0.172896,0.195464,-0.077131,0.048661,0.115309,-0.076058,-0.017423,0.117041,-0.011141,-0.012758,T
0.135467,0.025377,-0.167733,-0.110428,0.115093,-0.118418,0.051306,-0.092017,-0.148242,-0.007194,0.116856,-0.076427,-0.022594,T
0.137766,-0.006176,-0.142643,-0.130513,0.104453,-0.092173,0.090114,-0.090029,-0.133228,-0.052887,0.144227,-0.064052,-0.008416,F
0.146511,-0.102358,0.235682,-0.135571,-0.090419,-0.092608,-0.195532,0.143319,-0.146117,0.044625,-0.081315,-0.038298,0.347224,T
0.222941,-0.077285,0.198117,-0.11362,-0.178715,-0.115452,-0.232085,-0.112972,-0.171324,0.026562,-0.051275,-0.062792,0.332099,T
0.146581,-0.097259,0.221575,-0.076199,-0.078969,-0.094584,-0.165675,0.176306,-0.168668,0.018729,-0.111558,-0.114987,0.358438,T
-0.173426,-0.048178,0.144265,0.03835,0.146978,-0.060391,0.086535,0.033511,-0.121977,-0.163781,-0.130938,-0.05453,-0.044113,T
-0.151062,-0.072951,0.178998,-0.075885,0.121765,-0.034814,0.026226,-0.052376,-0.049438,-0.169269,-0.059069,0.079241,-0.058756,F
-0.157641,-0.072209,0.177257,-0.060787,0.133741,-0.034336,0.034723,-0.020446,-0.053151,-0.173019,-0.071395,0.059884,-0.055141,T
-0.135362,-0.030655,0.138425,-0.018182,0.153223,-0.056824,-0.040547,-0.043985,-0.046119,-0.156744,-0.109756,0.013387,-0.07244,T
-0.088828,-0.03441,0.124897,0.00371,0.064693,-0.066076,0.005284,-0.233677,-0.095475,-0.188702,-0.073198,-0.014898,-0.067231,F
-0.158326,-0.057883,0.162542,-0.038567,0.127568,-0.050335,0.037447,-0.034387,-0.078425,-0.153395,-0.08495,0.039293,-0.058137,F
-0.089969,-0.032082,0.127443,-0.019024,0.06078,-0.069492,-0.011711,-0.247891,-0.089352,-0.169688,-0.064084,0.016765,-0.074016,T
-0.089498,-0.035526,0.128956,-0.019807,0.046558,-0.071213,0.005429,-0.267632,-0.102065,-0.168789,-0.056847,0.018723,-0.071835,T
-0.167773,0.125045,0.016341,0.080351,0.19215,-0.199899,-0.193144,-0.045947,-0.159174,0.103691,-0.244733,-0.037478,-0.140171,T
-0.05089,0.110528,-0.096334,-0.028136,-0.0999,-0.066297,-0.044211,0.074534,0.034081,-0.160842,-0.02898,0.115465,0.033177,T
-0.048918,0.083762,-0.071944,-0.062582,-0.111842,-0.044636,-0.022792,0.065829,0.053353,-0.18954,0.002247,0.149057,0.040997,T
-0.037518,0.120214,-0.102953,-0.044834,-0.118354,-0.075658,-0.07265,0.013384,0.035717,-0.142561,-0.016946,0.140858,0.022356,T
-0.046404,0.118866,-0.107883,-0.008194,-0.118244,-0.078993,-0.029553,0.039332,0.005653,-0.151495,-0.033108,0.095642,0.033028,F
-0.035026,0.105413,-0.093884,-0.03974,-0.119997,-0.061926,-0.047524,0.022426,0.039971,-0.174737,-0.010773,0.126765,0.032353,T
-0.059663,0.120486,-0.108054,-0.002387,-0.111862,-0.083849,-0.016285,0.067903,-0.007106,-0.137386,-0.041722,0.091978,0.034613,T
-0.070394,0.162673,-0.144725,0.050642,-0.084691,-0.118163,-0.049048,0.104551,-0.036954,-0.085956,-0.095323,0.041544,0.022522,F
-0.031026,0.089604,-0.093352,0.011052,-0.1267,-0.049572,0.019061,0.037902,0.015845,-0.230543,-0.020139,0.053497,0.054151,F
-0.045632,0.078711,-0.100257,0.065794,-0.210474,-0.076903,0.176099,-0.042909,-0.116047,-0.214379,-0.009821,-0.00173,0.077579,F
-0.114263,0.035343,-0.070901,0.097904,-0.260975,-0.08491,0.402613,0.023371,-0.251225,-0.193815,-0.000303,-0.031821,0.119562,F
-0.034006,0.074105,-0.079959,0.007701,-0.106581,-0.029541,0.025303,0.085791,0.041617,-0.264146,-0.019521,0.047616,0.062515,F
0.013292,0.090154,-0.098355,-0.019708,-0.197443,-0.056031,0.001902,-0.142937,0.010044,-0.235144,0.028361,0.092741,0.043626,F
-0.058339,0.12159,-0.118957,0.053878,-0.101238,-0.081901,0.01632,0.100432,-0.025753,-0.170325,-0.068231,0.017172,0.047378,F
0.267299,0.192379,0.019665,0.211161,0.0024,-0.01594,0.118317,-0.118294,-0.026859,-0.083199,-0.175411,-0.120072,-0.039877,T
0.185481,0.112259,0.131292,-0.01683,0.023898,0.035827,0.139897,0.022403,0.05664,-0.023148,-0.074209,0.159754,-0.039941,T
0.183518,0.083552,0.157452,-0.052025,0.008776,0.056499,0.171623,0.015695,0.069075,-0.048243,-0.041557,0.195287,-0.030672,F
0.184425,0.129452,0.115777,-0.001009,0.017203,0.017049,0.133983,0.003439,0.032769,0.005663,-0.086468,0.149026,-0.046193,T
0.191035,0.105392,0.129375,0.012585,0.017064,0.041207,0.173552,0.020312,0.042464,-0.053932,-0.078857,0.117917,-0.028946,F
0.192714,0.152463,0.090689,0.052748,0.05136,0.010479,0.100462,0.042156,0.039996,-0.007147,-0.129233,0.081053,-0.048525,T
0.156942,0.189836,0.050114,0.151622,0.055458,-0.039217,0.165553,0.097445,-0.067278,0.057747,-0.196486,-0.018455,-0.043468,F
0.178695,0.132242,0.111084,0.027748,0.046027,0.02168,0.133847,0.062935,0.039565,-0.010997,-0.111144,0.109444,-0.040944,T
0.249045,0.121978,0.10224,0.027451,-0.05968,0.022668,0.157055,-0.187617,0.014983,-0.066148,-0.050641,0.10236,-0.039158,F
0.011423,-0.126677,-0.106774,-0.047497,-0.093096,-0.092624,-0.033578,0.07161,-0.047922,0.163918,-0.17974,0.062818,-0.172293,T
0.052816,-0.222683,-0.034752,-0.099248,-0.101886,0.009689,0.026527,0.069864,0.058247,-0.037081,-0.100468,0.072641,-0.130762,T
0.107377,-0.091147,-0.14771,0.003656,-0.013268,-0.057773,-0.242226,0.048063,0.107806,0.036844,-0.22283,-0.033129,-0.192448,T
0.046412,-0.207079,-0.053322,-0.057887,-0.108142,-0.010346,0.050233,0.068963,0.015061,-0.016988,-0.123613,0.029746,-0.129273,T
0.118391,-0.199848,-0.072155,-0.059548,-0.181319,-0.012929,0.013508,-0.14985,0.020691,-0.058461,-0.082302,0.025936,-0.139329,T
0.075491,-0.258883,-0.045978,0.044952,-0.194068,0.015601,0.255281,-0.022303,-0.077795,-0.155844,-0.101771,-0.120914,-0.073499,F
0.050452,-0.220774,-0.038373,-0.090659,-0.114863,0.002153,0.045568,0.054294,0.036212,-0.027869,-0.100639,0.065679,-0.129271,F
0.041794,-0.20979,-0.066301,0.027257,-0.097514,-0.008121,0.119741,0.122828,-0.025024,-0.063387,-0.161272,-0.082331,-0.106534,F
0.112407,-0.236601,-0.055882,-0.006641,-0.18641,0.014762,0.125099,-0.098649,-0.006407,-0.141703,-0.085603,-0.057038,-0.103413,F
0.058803,-0.136652,-0.113817,0.004558,-0.070219,-0.057028,-0.057458,0.068218,0.007566,0.045979,-0.192655,-0.029105,-0.158635,T
-0.047806,-0.018655,-0.026116,0.026178,0.078769,0.065806,-0.077976,0.019993,0.072086,0.109663,0.020903,0.039509,0.05016,T
-0.07802,-0.030337,-0.011529,0.007828,0.066557,0.059929,-0.025259,0.047015,0.038174,0.143072,0.03089,0.069913,0.055949,T
-0.088055,0.02825,-0.055577,0.033385,0.080648,0.007074,-0.094291,0.038565,0.00395,0.2442,-0.014581,0.065094,0.027438,T
-0.084922,-0.03719,-0.002884,-0.000514,0.085719,0.07028,-0.030425,0.089378,0.057626,0.133489,0.028808,0.076046,0.058264,T
-0.048194,-0.032133,-0.021697,0.053475,0.079387,0.077401,-0.035225,0.042776,0.062563,0.071589,0.016075,-0.002207,0.065034,F
-0.076989,-0.051861,0.006917,-0.00237,0.086423,0.087163,-0.020253,0.092096,0.074581,0.096621,0.038151,0.068794,0.065891,T
-0.073592,-0.055729,0.004764,0.012397,0.063134,0.083439,0.014814,0.05998,0.047314,0.090038,0.0434,0.051201,0.072076,T
-0.067199,-0.043018,-0.003431,0.006612,0.069767,0.077086,-0.023603,0.048054,0.060059,0.104462,0.038822,0.061354,0.06219,T
-0.137873,0.092301,-0.110067,0.124303,0.108678,-0.063922,-0.080639,0.123431,-0.100749,0.367947,-0.1034,-0.011513,0.015211,T
-0.064192,0.000568,-0.044353,0.066776,0.093877,0.045955,-0.067393,0.062241,0.03872,0.138614,-0.013849,-0.001538,0.049739,T
-0.076846,-0.057424,0.008233,0.006251,0.072988,0.087273,0.007472,0.07909,0.057966,0.089009,0.042275,0.057528,0.071675,F
-0.027254,-0.051577,-0.009599,0.051518,0.087075,0.106502,-0.040852,0.042623,0.104238,0.005296,0.028317,-0.017156,0.074092,T
-0.000304,-0.005332,-0.053799,0.066571,0.012136,0.048819,-0.064639,-0.146371,0.030107,0.087306,0.034258,-0.00917,0.048971,T
-0.06735,-0.028611,-0.016748,0.020456,0.062548,0.061069,-0.027534,0.028871,0.038894,0.128205,0.029079,0.051676,0.057062,T
-0.062885,-0.034945,-0.014639,0.031102,0.065445,0.069431,-0.017545,0.036468,0.043878,0.103938,0.027855,0.032886,0.063002,T
-0.067938,-0.042486,-0.00381,0.007004,0.069507,0.076194,-0.022916,0.048324,0.058482,0.106355,0.03833,0.06139,0.062042,T
0.014152,0.038684,-0.092478,0.107577,0.040464,0.024032,-0.143155,-0.148267,0.037168,0.114479,-0.009744,-0.051583,0.030344,F
-0.059131,0.103681,-0.128188,0.089032,0.008441,-0.076244,-0.134738,-0.161444,-0.098893,0.35603,-0.039154,0.033154,-0.005624,T
-0.075868,-0.049391,0.005489,-0.004363,0.087488,0.08582,-0.028064,0.089308,0.077157,0.100127,0.03766,0.071973,0.063774,F
-0.08637,-0.040329,-0.000027,-0.014538,0.054686,0.061834,-0.00658,0.041628,0.032016,0.152807,0.046842,0.099141,0.057595,F
-0.056403,-0.033629,-0.010472,0.015984,0.107726,0.086335,-0.079092,0.086449,0.104147,0.083088,0.019422,0.04287,0.056865,F
-0.018329,-0.01545,-0.040426,0.043744,0.007401,0.049363,-0.040386,-0.127497,0.020376,0.105931,0.045514,0.022375,0.051353,T
-0.079142,-0.066538,-0.044,0.281321,-0.019085,0.055097,0.332993,0.041231,-0.190381,-0.011572,-0.030108,-0.284585,0.147114,F
