@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A14-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R3-13'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute grade1 {T,F}

@data
0.029536,-0.032082,T
0.028848,-0.046612,T
0.102414,0.030471,T
0.04064,-0.01892,F
0.024855,-0.027598,T
0.023897,-0.03952,T
-0.044323,0.079623,T
-0.050008,0.102587,T
-0.050417,0.088093,T
-0.054359,0.099665,F
-0.040919,0.113638,T
-0.098802,0.103428,F
-0.049344,0.075334,F
-0.063284,0.152098,F
-0.038203,0.082956,T
0.069103,-0.018993,T
0.073406,-0.031911,T
0.158544,0.02183,T
0.076654,-0.02012,T
0.206776,0.026198,T
0.083195,-0.010977,T
0.135467,0.025377,T
0.137766,-0.006176,F
0.146511,-0.102358,T
0.222941,-0.077285,T
0.146581,-0.097259,T
-0.173426,-0.048178,T
-0.151062,-0.072951,F
-0.157641,-0.072209,T
-0.135362,-0.030655,T
-0.088828,-0.03441,F
-0.158326,-0.057883,F
-0.089969,-0.032082,T
-0.089498,-0.035526,T
-0.167773,0.125045,T
-0.05089,0.110528,T
-0.048918,0.083762,T
-0.037518,0.120214,T
-0.046404,0.118866,F
-0.035026,0.105413,T
-0.059663,0.120486,T
-0.070394,0.162673,F
-0.031026,0.089604,F
-0.045632,0.078711,F
-0.114263,0.035343,F
-0.034006,0.074105,F
0.013292,0.090154,F
-0.058339,0.12159,F
0.267299,0.192379,T
0.185481,0.112259,T
0.183518,0.083552,F
0.184425,0.129452,T
0.191035,0.105392,F
0.192714,0.152463,T
0.156942,0.189836,F
0.178695,0.132242,T
0.249045,0.121978,F
0.011423,-0.126677,T
0.052816,-0.222683,T
0.107377,-0.091147,T
0.046412,-0.207079,T
0.118391,-0.199848,T
0.075491,-0.258883,F
0.050452,-0.220774,F
0.041794,-0.20979,F
0.112407,-0.236601,F
0.058803,-0.136652,T
-0.047806,-0.018655,T
-0.07802,-0.030337,T
-0.088055,0.02825,T
-0.084922,-0.03719,T
-0.048194,-0.032133,F
-0.076989,-0.051861,T
-0.073592,-0.055729,T
-0.067199,-0.043018,T
-0.137873,0.092301,T
-0.064192,0.000568,T
-0.076846,-0.057424,F
-0.027254,-0.051577,T
-0.000304,-0.005332,T
-0.06735,-0.028611,T
-0.062885,-0.034945,T
-0.067938,-0.042486,T
0.014152,0.038684,F
-0.059131,0.103681,T
-0.075868,-0.049391,F
-0.08637,-0.040329,F
-0.056403,-0.033629,F
-0.018329,-0.01545,T
-0.079142,-0.066538,F
0.007593,-0.018974,F
0.004996,-0.017491,F
0.125169,-0.034268,F
-0.048816,-0.04297,F
-0.036135,-0.093564,F
0.000012,-0.031169,F
-0.023874,-0.030213,F
-0.012154,-0.041234,F
-0.010327,-0.016398,F
-0.039953,-0.065143,F
-0.026056,-0.041292,F
-0.019799,-0.038006,F
-0.031449,-0.041323,F
-0.016055,-0.053169,F
