@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.9-A5-M-1-C'

@attribute -0.65560_day-0.65130_day-0.3831_day-0.009month+0.001underwriter=other... numeric
@attribute '-0.8061_day+0.58 60_day-0.1130_day+0.042month-0.003underwriter=Goldman Sach...' numeric
@attribute grade1 {T,F}

@data
6.317464,-1.64044,T
63.682492,2.426595,T
-13.892292,24.048366,T
18.92385,21.220427,F
36.837529,8.839843,T
51.377121,2.978345,T
43.186187,1.803014,T
7.84428,8.435507,T
40.690465,10.714326,T
-56.955996,-13.476575,F
3.621441,19.295552,T
-125.147811,-44.882235,F
31.817808,-6.553959,F
-60.959345,29.359634,F
21.683518,0.615174,T
37.466104,9.128733,T
45.371564,2.445193,T
-18.445823,13.160558,T
20.685256,1.253559,T
-39.635381,27.514913,T
21.889925,16.123683,T
4.737491,9.540442,T
42.421688,-4.517809,F
19.727887,4.955682,T
57.403523,8.053391,T
-53.154877,-11.227073,T
-91.081713,-21.138265,T
58.069626,3.357112,F
32.837055,-0.444137,T
-34.823139,16.916254,T
7.480167,-2.408767,F
9.057343,-0.711897,F
33.760968,6.387458,T
45.131681,2.034471,T
-213.559121,80.981763,T
3.970398,7.639845,T
56.604272,1.479922,T
33.190781,18.372735,T
-6.947643,3.021944,F
33.190479,7.344242,T
-19.479196,1.145099,T
-107.57602,11.692817,F
-12.084988,-21.500276,F
-13.546836,-65.233294,F
-10.411014,-123.039307,F
-18.037361,-26.814772,F
73.452137,-16.257443,F
-87.219468,-16.380296,F
-195.202968,-14.016334,T
47.861349,10.078139,T
103.499693,1.828998,F
30.47483,13.766171,T
23.370322,-5.25168,F
-55.544834,16.087298,T
-179.103201,-0.724994,F
-21.18676,9.459085,T
61.083457,-5.525706,F
-52.117737,47.436686,T
40.760088,10.538121,T
-158.996862,79.529089,T
-4.56689,3.308997,T
52.753956,5.830323,T
-39.838028,-77.383102,F
39.412906,5.959379,F
-103.004287,-27.897462,F
8.717791,-38.049308,F
-115.031621,33.428496,T
13.810031,14.945114,T
41.355406,7.658063,T
-12.889775,36.139595,T
38.561706,8.81014,T
-12.275313,-3.286999,F
45.068314,1.588473,T
46.260615,-9.842257,T
45.289844,2.321282,T
-152.941031,41.125978,T
-47.18512,12.626776,T
46.349569,-7.39197,F
-7.482479,-10.305281,T
16.968541,3.691214,T
31.254669,5.019038,T
20.146622,-1.614979,T
44.808634,2.358258,T
-56.501315,23.611113,F
-41.713101,54.515297,T
45.948385,4.20781,F
75.112548,6.133644,F
8.484283,13.194183,F
45.331893,2.120073,T
-185.414603,-129.249873,F
2.450423,-3.657052,F
25.43511,3.036464,F
-345.91343,-32.840355,F
62.63783,-20.841442,F
110.099586,-14.370647,F
67.257713,1.965945,F
41.137232,-7.919765,F
61.882983,-11.843186,F
62.223459,8.842891,F
93.771027,-26.908308,F
77.339893,-12.410715,F
78.149818,-7.372414,F
66.945321,-12.287211,F
85.421031,-16.231145,F
