@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RandomProjection-N2-R82-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute grade1 {T,F}

@data
-45.812744,-63.133252,T
18.359739,1.03923,T
-71.447096,-73.179147,T
-36.996605,-56.049164,F
-3.775871,-21.096379,T
9.907331,-7.413177,T
0.173205,-18.879354,T
-29.444864,-48.497423,T
1.732051,-19.052559,T
-105.551176,-124.603735,F
-37.048567,-56.101126,T
-153.40774,-172.460299,F
-11.466176,-30.518735,F
-86.827707,-107.612317,F
-29.046492,-48.099051,T
-1.732051,-20.78461,T
-0.34641,-19.398969,T
-91.105872,-94.569974,T
-24.820288,-42.140796,T
-150.826984,-154.291086,T
-27.920659,-46.973218,T
-41.413335,-43.145386,T
-9.751446,-11.483497,F
-20.368917,-42.885578,T
13.250189,9.786087,T
-106.434522,-128.951183,T
-144.989973,-164.042532,T
12.124356,-5.196152,F
-16.36788,-35.420439,T
-95.418679,-112.739187,T
-51.493871,-53.225921,F
-35.853452,-53.17396,F
-18.030649,-19.7627,T
-2.771281,-2.771281,T
-227.297027,-244.617536,T
-41.396014,-63.912675,T
10.392305,-12.124356,T
-5.923614,-24.976173,T
-48.289577,-67.342135,F
-13.458035,-32.510594,T
-56.153087,-76.937697,T
-141.525871,-164.042532,F
-73.941249,-91.261757,F
-49.796461,-56.724664,F
-11.691343,-18.619546,F
-91.279078,-112.063687,F
19.052559,13.856406,F
-138.477462,-159.262072,F
-286.68905,-288.4211,T
4.624576,-14.427983,T
62.215265,43.162706,F
-5.767729,-23.088237,T
-28.492236,-45.812744,F
-110.12379,-129.176349,T
-218.342325,-237.394884,F
-69.21275,-89.99736,T
9.179869,7.447818,F
-46.574846,-67.359456,T
-2.078461,-22.863071,T
-233.203321,-253.98793,T
-42.833616,-61.886175,T
4.537973,1.073872,T
-101.23837,-106.434522,F
1.991858,-17.0607,F
-159.262072,-178.314631,F
-58.28351,-61.747611,F
-158.326764,-177.379323,T
-40.876399,-56.464856,T
7.118729,-10.201779,T
-28.405633,-45.726141,T
-0.173205,-20.957815,T
-77.249466,-92.837923,F
-3.845153,-24.629762,T
0,-17.320508,T
-1.03923,-18.359739,T
-142.270653,-163.055263,T
-98.155319,-115.475827,T
-1.333679,-20.386238,F
-94.483372,-110.071829,T
-41.569219,-43.30127,T
-9.127908,-24.716365,T
-28.28439,-43.872847,T
-0.866025,-18.186533,T
-124.08412,-125.816171,F
-26.846788,-28.578838,T
-2.667358,-23.451968,F
50.229473,32.908965,F
-56.291651,-77.076261,F
-1.03923,-4.503332,T
-250.800957,-252.533008,F
-73.404313,-76.868415,F
-43.162706,-46.626808,F
-612.747614,-630.068122,F
28.717402,23.52125,F
37.914592,22.326135,F
5.767729,2.303628,F
-10.859959,-16.056111,F
4.451371,0.987269,F
13.042343,9.578241,F
51.199422,46.003269,F
33.41126,29.947158,F
31.003709,27.539608,F
21.650635,16.454483,F
31.176915,27.712813,F
