@relation yeast-weka.filters.unsupervised.attribute.Remove-R1_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A9-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
0.024443,0.010907,-0.009063,-0.018433,0.006042,0.041305,-0.023069,-0.003261,MIT
0.039154,0.022473,-0.036216,-0.025879,-0.009163,-0.001196,0.000284,0.007308,MIT
0.014122,0.032496,0.001504,-0.019593,0.008765,0.03404,-0.015482,-0.001574,MIT
-0.005274,0.024992,0.026478,-0.004349,0.009405,0.036373,0.011749,0.007108,NUC
0.019025,-0.022184,0.000297,-0.021472,0.002943,-0.02772,0.025994,-0.03663,MIT
-0.050501,-0.029746,0.039571,-0.128137,-0.094881,0.057625,-0.008107,0.009695,CYT
0.012464,0.003343,-0.005928,-0.031889,0.007126,-0.049756,0.029955,-0.041929,MIT
-0.000114,0.034133,0.014722,-0.005136,-0.000767,0.010431,0.030373,0.017477,NUC
-0.02862,0.010385,-0.013947,-0.009713,0.021802,0.006557,0.033138,0.002993,MIT
0.005858,0.027956,0.018086,0.000507,-0.007832,0.014097,0.036879,0.026236,CYT
0.013224,0.00599,0.019677,-0.004531,-0.003328,0.015727,0.022526,0.00364,NUC
0.001699,0.004299,0.015338,0.000024,0.000079,0.018834,0.030263,0.011352,NUC
0.006812,0.004807,0.003158,-0.00933,-0.001223,-0.008245,0.036938,0.000415,CYT
-0.008924,0.005399,0.036032,-0.016001,0.016439,-0.009425,0.026017,-0.0363,MIT
0.014452,-0.000457,0.011996,-0.018361,0.015824,0.043205,-0.026084,-0.024766,MIT
0.019669,0.002796,0.011662,-0.005207,-0.00193,0.037057,0.003596,0.007267,CYT
0.018876,-0.005827,0.024391,-0.001807,-0.00119,0.039464,0.000989,-0.000524,CYT
0.002591,0.015517,0.018786,-0.006199,0.009213,0.043212,-0.000583,0.003403,NUC
-0.000249,-0.007879,0.031578,-0.001462,0.008045,0.029588,0.017531,-0.008054,NUC
-0.000331,0.021501,-0.011115,-0.016389,0.014362,0.028444,-0.003027,0.001316,NUC
0.021896,-0.003857,0.020807,-0.005713,-0.002685,0.029801,0.006743,-0.0024,CYT
0.029097,-0.001387,0.012448,-0.011099,-0.005925,0.016312,0.007784,-0.005724,CYT
0.014469,0.01398,0.009315,-0.02897,0.01904,0.024265,-0.02803,-0.03735,CYT
0.028219,0.025299,-0.004072,-0.011436,-0.009759,0.020732,0.008382,0.018839,CYT
0.024948,0.036398,0.004172,-0.012692,-0.009263,0.014835,0.012243,0.017269,CYT
0.005419,0.012033,0.001373,-0.023484,0.00714,-0.028512,0.029491,-0.024688,MIT
0.002327,0.038753,0.037369,-0.009425,0.004194,0.018694,0.015149,-0.000168,CYT
-0.012077,0.01716,0.009077,-0.005603,0.014041,0.032451,0.014578,0.007584,CYT
-0.004872,0.02511,-0.028787,-0.020447,0.018422,0.025422,-0.004429,0.003886,MIT
0.030454,0.054295,-0.020688,-0.049573,0.014098,-0.004265,-0.040933,-0.037278,ME1
0.038683,0.032043,0.020463,-0.015797,-0.009488,0.027861,-0.012017,0.001215,NUC
0.014021,-0.012469,0.002241,-0.040318,0.010695,-0.079948,0.03669,-0.073847,MIT
0.014581,0.028968,-0.042422,-0.007842,-0.007798,0.018142,0.017065,0.043265,CYT
0.032171,-0.001533,-0.031701,-0.022174,-0.00963,-0.025882,0.026217,-0.003764,NUC
0.013659,0.005668,-0.018175,-0.033164,0.026966,0.041113,-0.0487,-0.03612,ME1
0.000425,-0.004209,-0.016716,-0.028897,0.030181,0.029953,-0.030048,-0.037471,EXC
0.008832,0.031255,0.017112,-0.026596,0.015854,0.015485,-0.014401,-0.028163,MIT
0.014529,0.02287,0.004614,-0.005568,-0.008039,0.011429,0.027744,0.020687,CYT
0.019177,-0.000682,0.012271,-0.027001,0.010135,-0.006135,-0.001345,-0.042291,MIT
0.0024,0.018948,0.004556,-0.018467,0.010278,0.002836,0.013411,-0.012375,MIT
0.012197,0.040951,0.027083,-0.032745,0.022546,0.032947,-0.040454,-0.03986,ME2
-0.017612,0.052723,-0.002088,-0.035097,0.032809,0.005871,-0.012261,-0.02969,ME2
0.0104,0.046313,0.048061,-0.027214,0.015063,0.0164,-0.016797,-0.037046,ME2
0.057733,0.000012,-0.000914,-0.020796,-0.015529,0.014607,-0.012972,-0.010099,ME3
0.013724,-0.014058,0.008912,0.000174,-0.003275,0.025326,0.02195,0.007996,VAC
-0.01982,-0.019479,0.0313,-0.002782,0.018788,0.007844,0.031615,-0.025352,NUC
-0.0271,-0.001085,-0.05377,-0.030301,0.041395,0.010914,-0.011215,-0.027173,ME2
0.007394,-0.012379,0.019748,-0.008402,0.007173,0.016893,0.01432,-0.016867,EXC
-0.00728,0.047649,0.028209,-0.021351,0.018268,0.014823,0.000885,-0.017354,VAC
0.054673,-0.029424,0.072022,-0.005381,-0.014734,0.031416,-0.007873,-0.036905,ME3
0.014047,0.002693,0.027729,-0.006203,0.000094,0.020939,0.013338,-0.00644,CYT
0.041724,0.00831,-0.004045,-0.011108,-0.014127,0.019173,-0.006236,0.007056,ME3
0.004438,0.013166,0.004357,-0.014733,0.001339,-0.022244,0.036436,-0.009281,NUC
-0.008731,0.013285,0.00638,-0.010249,0.01362,0.017724,0.01747,-0.002292,CYT
-0.008086,0.008379,-0.013379,-0.015833,0.022024,0.035015,-0.006767,-0.005962,CYT
-0.00949,0.002826,-0.008188,-0.013684,0.023036,0.039082,-0.007069,-0.008039,CYT
0.012329,0.021169,-0.001739,-0.017444,0.013114,0.049896,-0.025703,-0.002503,CYT
0.008168,0.015673,0.025567,-0.014278,0.004178,0.000442,0.020007,-0.015585,CYT
0.02639,0.001376,-0.011887,-0.009733,-0.007389,0.017629,0.012332,0.011917,CYT
0.019231,0.000204,-0.022925,-0.03439,0.003425,-0.055937,0.030419,-0.037669,MIT
0.006572,-0.004818,0.02694,-0.014492,0.001759,-0.031424,0.04437,-0.02966,MIT
0.031889,-0.033984,0.02374,-0.002182,-0.006326,0.031248,0.00555,-0.012291,NUC
0.011096,0.002323,0.016506,-0.010807,0.001875,0.002023,0.01816,-0.013098,NUC
0.009372,0.032125,0.004294,-0.005614,-0.007447,0.006985,0.033292,0.024787,NUC
0.032009,0.0118,0.025989,-0.011036,-0.00307,0.04227,-0.015715,-0.005155,CYT
0.017298,0.006603,0.030006,-0.014676,0.007229,0.027439,-0.008863,-0.022862,CYT
0.024919,0.020334,-0.004814,-0.002978,-0.014707,0.022298,0.023145,0.033558,CYT
0.015206,0.017021,-0.010255,-0.009721,0.000199,0.032618,0.003416,0.017311,CYT
0.000533,0.027081,0.026332,-0.000989,-0.00106,0.021572,0.029952,0.017375,CYT
0.003985,0.060854,-0.025537,-0.042264,0.022661,0.001681,-0.02305,-0.020801,EXC
0.013845,0.018744,0.026033,-0.009444,-0.00241,0.009245,0.020981,-0.001958,CYT
0.012317,0.03088,0.022838,-0.017147,0.003396,0.007219,0.008269,-0.010794,CYT
0.007904,-0.017591,0.010804,-0.03018,0.018548,-0.025097,0.008869,-0.061745,MIT
0.002817,-0.014909,-0.031612,-0.028406,0.012195,-0.044799,0.034188,-0.033678,MIT
0.002626,-0.013385,-0.018856,-0.007942,0.009737,0.027961,0.010058,0.004016,MIT
-0.010793,-0.035985,-0.006583,-0.015591,0.020735,-0.013123,0.028242,-0.037306,MIT
-0.009611,0.010173,0.004579,-0.019852,0.020532,0.003375,0.011418,-0.024108,MIT
0.00346,0.003358,-0.013332,-0.024702,0.009882,-0.029879,0.027613,-0.025483,MIT
-0.022594,-0.024477,-0.030191,-0.017671,0.034382,0.022876,0.000191,-0.024432,MIT
0.018835,-0.007577,-0.03003,-0.02543,0.003396,-0.022981,0.019091,-0.01919,MIT
-0.000929,0.004814,0.005932,-0.017868,0.007793,-0.025691,0.037578,-0.021339,MIT
0.023254,-0.013073,-0.020412,-0.02779,0.007422,-0.010338,0.001466,-0.031828,MIT
-0.012496,0.032035,-0.009473,-0.02338,0.01005,-0.044893,0.0504,-0.011249,MIT
-0.020711,-0.001247,-0.02112,-0.012331,0.021519,0.008704,0.024114,-0.003404,MIT
-0.063047,-0.039912,0.039986,-0.241538,-0.156748,0.036661,-0.050698,-0.031629,MIT
0.11861,-0.013251,-0.002542,-0.02979,-0.041925,0.01359,-0.04176,-0.019345,ME3
0.066876,0.003268,0.031041,-0.016511,-0.023529,0.015031,-0.009405,-0.014386,ME3
0.000336,0.026514,0.017709,-0.027644,0.025532,0.027713,-0.02509,-0.035658,EXC
-0.004313,0.013398,-0.011834,-0.011459,0.008823,0.006639,0.021965,0.004981,NUC
0.015946,0.004265,-0.000704,-0.016351,-0.002158,-0.018008,0.028652,-0.011226,CYT
-0.003055,-0.000683,-0.022162,-0.011343,0.002232,-0.025981,0.049496,0.003218,CYT
0.024895,-0.002156,0.032185,-0.008153,-0.004165,0.018124,0.00932,-0.012893,MIT
0.013488,-0.016375,-0.012659,-0.005613,0.001704,0.027382,0.012048,0.006801,CYT
0.002672,0.00956,-0.014702,0.003316,-0.006628,0.014947,0.036795,0.035806,NUC
0.026313,0.0113,-0.021504,-0.020672,-0.000102,0.01269,-0.003713,-0.001052,CYT
0.059715,-0.035471,-0.007621,-0.020417,-0.01068,0.017964,-0.019274,-0.026443,ME3
-0.003482,0.012635,-0.029278,-0.028811,0.025528,0.015769,-0.013832,-0.02104,EXC
0.041123,0.04374,-0.00733,-0.03726,-0.002541,-0.007206,-0.016557,-0.020147,MIT
0.020906,0.038939,-0.001811,-0.036889,0.016885,0.020701,-0.037057,-0.031162,MIT
-0.015171,-0.024827,-0.025779,-0.01427,0.031949,0.044893,-0.013921,-0.01773,CYT
0.071448,-0.027283,-0.023364,-0.025319,-0.016131,0.015435,-0.026087,-0.019801,ME3
0.060214,-0.015534,0.015588,-0.011417,-0.018884,0.029518,-0.011791,-0.007955,ME3
0.015101,-0.031827,-0.022744,-0.019374,0.011272,0.006894,0.002111,-0.026062,CYT
-0.012314,-0.021822,0.047866,0.006217,0.010676,0.022039,0.030683,-0.015994,NUC
0.004095,-0.013061,0.012959,-0.004824,0.007201,0.0248,0.01551,-0.006663,CYT
0.065221,0.007986,-0.002321,-0.024161,-0.017178,0.019632,-0.023878,-0.009605,ME3
0.014687,0.013653,0.032952,-0.002104,-0.00711,0.015934,0.027781,0.0071,CYT
0.034684,0.005082,-0.039406,-0.011776,-0.014369,0.011286,0.015344,0.027709,CYT
0.009094,0.061331,0.003823,-0.020996,0.005326,0.02064,-0.002433,0.010165,CYT
0.056056,0.017674,-0.036132,-0.02006,-0.025817,-0.008461,0.01383,0.021712,CYT
-0.038784,-0.041579,0.033445,-0.14117,-0.099219,0.006674,0.006181,-0.019416,POX
0.047703,0.00025,0.004201,-0.019766,-0.010501,0.012959,-0.008228,-0.013474,NUC
0.014672,-0.020388,0.007291,0.00559,-0.008778,0.017577,0.030113,0.013083,NUC
0.021125,-0.016808,-0.00049,-0.018137,-0.00073,-0.020661,0.0253,-0.025825,NUC
0.020939,0.011081,-0.001823,-0.005092,-0.006806,0.017321,0.001416,0.00992,NUC
0.00975,-0.017016,-0.000153,-0.023269,0.007402,-0.03646,0.032407,-0.039737,MIT
-0.004023,0.010368,-0.038931,-0.026263,0.019616,0.000097,0.005062,-0.01158,MIT
-0.004183,-0.009247,-0.01004,-0.01646,0.012106,-0.015383,0.031779,-0.018717,MIT
0.035232,-0.084864,-0.056393,-0.011633,0.008404,0.050623,-0.02764,-0.016812,MIT
-0.019397,0.016406,0.004754,-0.00145,0.009601,0.011482,0.041964,0.016489,MIT
0.05567,0.007395,0.019979,-0.034636,-0.000367,0.016902,-0.041813,-0.047907,MIT
-0.004103,0.012252,-0.004195,-0.021197,0.013376,-0.015009,0.024597,-0.019188,MIT
-0.010006,0.028662,-0.006116,-0.026511,0.021177,-0.005851,0.010007,-0.0213,MIT
0.009036,0.019766,-0.005553,-0.026893,0.010449,-0.01214,0.007559,-0.023655,MIT
0.052084,0.01014,0.021673,-0.028917,-0.007396,0.002033,-0.017454,-0.035859,ME3
0.007414,0.015413,-0.020502,-0.016524,0.011651,0.03528,-0.009597,0.005247,MIT
0.019858,0.001217,0.018729,-0.002527,-0.006874,0.022998,0.018416,0.007478,NUC
0.02919,0.018949,-0.046288,-0.037076,-0.001088,-0.039421,0.013919,-0.016056,MIT
0.008337,-0.001659,-0.006177,-0.004833,0.008963,0.057757,-0.011001,0.011822,NUC
-0.006803,-0.016119,-0.004465,-0.008923,0.008216,-0.017856,0.04157,-0.01339,CYT
0.01102,0.012662,-0.039602,-0.014759,0.006596,0.033618,-0.004073,0.019234,CYT
0.027727,0.004759,-0.041156,-0.020738,-0.00424,-0.001758,0.008393,0.005983,CYT
-0.012537,-0.017907,-0.008212,-0.009683,0.024925,0.039822,-0.003223,-0.013379,CYT
-0.004769,0.019817,0.016362,-0.020565,0.015209,-0.0071,0.016864,-0.025766,NUC
0.033135,0.012345,-0.034513,-0.013162,-0.012021,0.015716,0.009676,0.025906,NUC
0.04004,0.014535,-0.018162,-0.014369,-0.016994,0.002581,0.013635,0.016116,CYT
0.032138,0.018186,-0.022426,-0.016034,-0.012119,-0.004533,0.011197,0.011101,ME3
0.02572,0.018826,-0.001829,-0.014425,-0.003955,0.021433,0.001557,0.006483,NUC
0.017553,-0.011725,0.009404,0.005013,-0.011347,0.021429,0.032907,0.020119,CYT
-0.017636,0.041001,0.042935,-0.000286,0.001066,-0.00911,0.060947,0.012817,NUC
0.017462,-0.007072,-0.014262,-0.005598,-0.002129,0.028715,0.011522,0.01451,CYT
-0.000203,0.016808,0.020172,-0.021514,0.011439,-0.018148,0.024284,-0.029802,NUC
-0.009454,0.000789,-0.021022,-0.014069,0.024429,0.045928,-0.012712,-0.002832,NUC
