@relation 'yeast-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M7-C'

@attribute -0.706mcg-0.597gvh-0.333mit+0.132alm+0.129nuc... numeric
@attribute -0.93mit+0.221mcg+0.218gvh-0.177alm+0.084vac... numeric
@attribute -0.974nuc+0.153alm-0.104gvh-0.087vac-0.086mit... numeric
@attribute 0.622alm+0.591mcg-0.475gvh+0.153nuc-0.093mit... numeric
@attribute -0.713alm-0.6gvh+0.319mcg+0.136vac+0.081mit... numeric
@attribute '-0.998pox-0.047vac-0.047nuc-0.014mit+0.01 alm...' numeric
@attribute '0.97 vac+0.18 alm+0.129erl-0.065nuc+0.046mit...' numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
-0.089077,0.166088,0.049849,-0.018635,-0.028303,0.012615,-0.030061,MIT
-0.065445,0.018239,0.031597,-0.146606,-0.101024,0.006505,0.031753,MIT
-0.142522,0.163626,0.044691,0.018634,-0.021002,0.010681,0.020946,MIT
0.024257,0.116367,0.07751,0.119335,0.010542,0.011922,0.046186,NUC
-0.009819,-0.28939,0.036858,-0.064315,0.048836,0.006406,-0.004085,MIT
0.083122,0.056326,0.108737,0.09763,0.013649,-0.485576,-0.020296,CYT
-0.163698,-0.34793,0.011242,-0.078689,0.030099,0.002565,0.046758,MIT
0.082774,0.033483,-0.044927,0.076483,-0.039235,0.002614,0.087386,NUC
-0.053968,-0.111135,0.070226,0.111827,-0.087291,0.011159,0.025431,MIT
0.187846,0.046625,0.007526,0.062381,-0.036997,0.004934,0.092216,CYT
0.136047,0.003301,0.026237,0.036745,0.015589,0.00751,0.03656,NUC
0.167764,-0.003268,0.018375,0.07619,-0.014885,0.007726,0.034449,NUC
0.094084,-0.132651,0.035742,0.007405,-0.020511,0.006232,0.050693,CYT
-0.082172,-0.186752,0.046274,0.089333,0.101978,0.007596,0.041884,MIT
-0.131865,0.116778,0.048139,0.040784,0.049572,0.01366,-0.053044,MIT
0.109894,0.113869,0.077297,0.022381,0.000875,0.012448,0.001509,CYT
0.153492,0.111363,-0.095133,0.067878,0.033745,0.004763,-0.023863,CYT
0.014878,0.145065,0.035201,0.096839,0.005291,0.01126,0.008147,NUC
0.112265,0.001791,0.083807,0.103692,0.058964,0.012825,0.000428,NUC
-0.116936,0.084293,0.024735,0.049135,-0.062751,0.01027,0.004458,NUC
0.121554,0.059976,0.074298,0.018389,0.039994,0.0117,0.000528,CYT
0.088958,0.012865,0.061464,-0.031215,0.030125,0.009707,0.010051,CYT
-0.270255,0.055281,0.021945,0.01296,0.058303,0.0105,-0.026679,CYT
0.069558,0.11247,0.062462,-0.043971,-0.05422,0.008918,0.051964,CYT
0.041063,0.103039,0.057585,-0.03051,-0.038949,0.007506,0.080974,CYT
-0.101201,-0.228326,0.031386,-0.021528,0.012758,0.004807,0.05693,MIT
-0.008677,0.07722,0.012022,0.09367,0.044265,0.006008,0.086645,CYT
0.001384,0.066388,0.077488,0.115635,-0.032048,0.012613,0.02511,CYT
-0.183836,0.071143,0.047666,0.03363,-0.109343,0.011626,0.00101,MIT
-0.494141,0.060268,-0.135312,-0.09878,-0.01777,-0.000814,0.025021,ME1
0.0036,0.184213,-0.050685,-0.029098,0.028757,0.003749,0.043872,NUC
-0.23243,-0.54881,-0.011427,-0.109169,0.10342,-0.000337,0.037764,MIT
0.104958,0.115418,-0.171984,-0.01485,-0.204147,-0.001769,0.033742,CYT
0.02791,-0.185825,0.038506,-0.143341,-0.072037,0.005281,0.028459,NUC
-0.356558,0.122497,0.018256,-0.001108,-0.003159,0.013641,-0.088424,ME1
-0.306354,0.014312,0.0279,0.03294,-0.004432,0.013538,-0.084101,EXC
-0.244551,0.048186,-0.004776,0.035714,0.050341,0.007086,0.025634,MIT
0.133374,0.034667,0.034844,0.007999,-0.048952,0.006606,0.071379,CYT
-0.157263,-0.128624,0.023574,-0.029932,0.079272,0.007438,-0.004025,MIT
-0.097359,-0.055229,0.045152,0.027224,-0.002415,0.008269,0.039219,MIT
-0.376939,0.160261,0.010567,0.048968,0.093063,0.009627,0.009283,ME2
-0.450421,0.004224,0.00808,0.079468,-0.014104,0.007636,0.047941,ME2
-0.273664,0.084241,0.018546,0.06445,0.132534,0.006963,0.065607,ME2
0.038165,0.064756,0.039451,-0.144588,0.026312,0.008243,-0.006408,ME3
0.208742,0.003433,0.050161,0.03323,-0.00831,0.010585,-0.007042,VAC
0.072845,-0.169538,-0.068776,0.162177,0.066023,0.004965,-0.016123,NUC
-0.365673,-0.107699,-0.099577,0.072785,-0.132519,0.0071,-0.086194,ME2
0.059114,-0.059433,0.068252,0.04881,0.05231,0.011414,-0.010684,EXC
-0.224981,0.054657,0.035595,0.097849,0.043958,0.007945,0.075627,VAC
0.217163,0.046704,0.067038,-0.02288,0.240443,0.010899,-0.027305,ME3
0.098325,0.019027,0.011868,0.050004,0.050809,0.007696,0.019102,CYT
0.128538,0.117137,-0.374476,-0.030635,-0.046227,-0.011203,-0.017285,ME3
0.021981,-0.179494,-0.107539,0.016383,-0.014621,-0.001908,0.059996,NUC
-0.030119,-0.013787,0.06588,0.084215,-0.019667,0.010954,0.02596,CYT
-0.14045,0.064446,0.057715,0.074647,-0.055952,0.013713,-0.030704,CYT
-0.118988,0.066358,0.062551,0.090619,-0.040135,0.014529,-0.040866,CYT
-0.139101,0.211179,0.05208,0.038329,-0.024141,0.013475,-0.020835,CYT
-0.015155,-0.069208,0.05129,0.03315,0.054985,0.007494,0.055917,CYT
0.111186,0.030919,0.06827,-0.049845,-0.055231,0.010292,0.009685,CYT
-0.158731,-0.369709,0.007178,-0.12828,-0.009559,0.002,0.039666,MIT
0.047446,-0.290243,0.0486,0.006161,0.084035,0.004968,0.060094,MIT
0.220143,0.007897,0.052925,-0.002827,0.076478,0.011837,-0.05173,NUC
0.05718,-0.071606,-0.147738,0.043741,0.024756,-0.001148,0.014367,NUC
0.120498,0.028106,0.024341,0.02058,-0.063215,0.005283,0.09386,NUC
0.035006,0.184991,0.011616,0.009773,0.056026,0.009315,-0.000845,CYT
-0.043836,0.063709,-0.017524,0.047123,0.082551,0.007575,-0.005679,CYT
0.194759,0.105625,0.082438,-0.029196,-0.079804,0.009597,0.062197,CYT
0.03648,0.126356,0.069409,0.003667,-0.071934,0.011652,0.016404,CYT
0.127038,0.061496,0.083461,0.08616,-0.003064,0.009703,0.083546,CYT
-0.476322,0.052955,-0.0068,-0.025197,-0.068563,0.005987,0.05076,EXC
0.063116,-0.001891,0.062652,0.026807,0.037974,0.008076,0.065001,CYT
-0.066313,0.019494,-0.024697,0.031689,0.035913,0.003969,0.062723,CYT
-0.201001,-0.295301,0.016077,-0.016869,0.103037,0.006792,-0.023898,MIT
-0.128469,-0.381763,0.024643,-0.071773,-0.041963,0.005291,0.001504,MIT
0.049349,-0.002439,0.076207,0.029703,-0.070312,0.013798,-0.040407,MIT
-0.034851,-0.306152,0.024989,0.044814,0.016543,0.009282,-0.051756,MIT
-0.15768,-0.102019,0.043036,0.0658,0.010357,0.009488,0.01262,MIT
-0.113604,-0.255205,-0.018654,-0.028176,-0.020866,0.003258,0.028077,MIT
-0.172294,-0.112214,0.056949,0.087618,-0.065626,0.015359,-0.094812,MIT
-0.073894,-0.217628,0.032051,-0.096816,-0.051386,0.00665,-0.001298,MIT
-0.036706,-0.244903,0.044464,0.009586,0.015623,0.005833,0.053192,MIT
-0.125417,-0.1649,0.026399,-0.086847,-0.004601,0.008131,-0.033465,MIT
-0.129431,-0.288343,0.031862,0.005169,-0.051937,0.002652,0.112914,MIT
-0.065465,-0.115502,0.065514,0.07928,-0.084362,0.011899,-0.008292,MIT
-0.269559,-0.070355,0.052842,-0.032132,0.067804,-0.820512,-0.046398,MIT
0.105594,0.141595,0.016251,-0.345856,0.083529,0.005956,-0.037653,ME3
0.119129,0.086131,0.044036,-0.133363,0.110627,0.00702,0.024041,ME3
-0.312814,0.076455,0.024341,0.07231,0.061135,0.010671,-0.004693,EXC
-0.003561,-0.04548,-0.064767,0.053035,-0.076995,0.00372,0.022705,NUC
0.032591,-0.162903,-0.050728,-0.03044,-0.008743,0.001466,0.039189,CYT
0.079172,-0.244016,-0.045605,-0.000501,-0.092544,0.001702,0.041479,CYT
0.108518,0.009995,0.016054,0.015606,0.080492,0.007497,0.013677,MIT
0.122695,0.007818,0.080114,0.002736,-0.052257,0.013256,-0.033648,CYT
0.245017,0.022715,-0.199055,0.064386,-0.135294,-0.003182,0.029709,NUC
-0.05558,0.033903,-0.015863,-0.062994,-0.063163,0.006484,-0.002414,CYT
0.062395,-0.009587,0.042922,-0.154852,0.048969,0.010922,-0.083886,ME3
-0.289943,-0.014282,0.028152,0.015122,-0.06692,0.011184,-0.03366,EXC
-0.255257,0.033323,-0.000133,-0.129429,0.002181,0.003786,0.060692,MIT
-0.374051,0.118023,0.003761,-0.028236,0.020352,0.008384,0.005925,MIT
-0.138496,0.013561,0.065714,0.093942,-0.060102,0.017602,-0.114408,CYT
0.032543,0.026409,0.032791,-0.216034,0.008615,0.009815,-0.078022,ME3
0.166191,0.102385,0.060371,-0.112934,0.067128,0.010595,-0.027785,ME3
-0.04207,-0.140119,0.048761,-0.041649,-0.018375,0.011859,-0.076503,CYT
0.207185,-0.081943,-0.149035,0.189917,0.089485,0.001524,-0.018531,NUC
0.094045,-0.023516,0.078349,0.061067,0.01913,0.012711,-0.016589,CYT
-0.00372,0.125639,0.031691,-0.166329,0.025384,0.008005,-0.004958,ME3
0.169851,0.021803,0.079209,0.042526,0.041709,0.009034,0.067894,CYT
0.131809,0.034242,0.066402,-0.117017,-0.137769,0.0094,0.015548,CYT
-0.168426,0.163669,0.039029,0.022363,-0.046841,0.007437,0.094402,CYT
0.102116,0.006413,0.043505,-0.205928,-0.110544,0.005078,0.054753,CYT
0.021291,-0.211988,0.02528,0.000089,0.052551,-0.493795,-0.009365,POX
0.021587,0.035607,0.041451,-0.1077,0.036044,0.008429,-0.002448,NUC
0.317411,-0.026226,-0.22607,0.060376,-0.0342,-0.003376,-0.021295,NUC
0.035135,-0.228691,-0.004802,-0.056625,0.027348,0.004523,0.001642,NUC
0.156038,0.100798,-0.698254,0.083644,-0.080431,-0.026322,-0.030854,NUC
-0.054515,-0.339045,0.032309,-0.04525,0.044375,0.005489,0.010953,MIT
-0.213061,-0.095684,0.034065,-0.010355,-0.10388,0.009632,-0.011068,MIT
-0.031182,-0.231896,0.051686,0.012514,-0.022252,0.008441,0.007702,MIT
0.103226,-0.008404,0.076388,-0.096238,-0.077409,0.020162,-0.229835,MIT
0.088605,-0.052146,0.086124,0.11324,-0.061475,0.010557,0.062382,MIT
-0.211698,0.076425,0.004794,-0.116095,0.129395,0.007765,-0.028572,MIT
-0.120326,-0.175602,0.039167,0.017532,-0.014663,0.007015,0.039288,MIT
-0.250292,-0.098898,0.027787,0.04154,-0.024348,0.007425,0.041751,MIT
-0.176881,-0.11039,-0.063908,-0.01362,-0.0088,0.002104,0.029588,MIT
-0.103407,0.004805,0.016353,-0.116143,0.110396,0.005928,0.014314,ME3
-0.099135,0.118708,0.056064,0.016429,-0.08095,0.012665,-0.015611,MIT
0.178733,0.041892,0.031454,0.022971,0.013733,0.008382,0.023783,NUC
-0.197029,-0.208127,0.004632,-0.171909,-0.094341,0.002775,0.042631,MIT
0.047615,0.191502,0.053596,0.063391,-0.054072,0.014765,-0.048671,NUC
0.085997,-0.250612,-0.140494,0.055664,-0.029853,-0.001107,-0.000793,CYT
-0.043792,0.117812,0.06263,-0.019064,-0.142805,0.012821,-0.018109,CYT
-0.009966,-0.045186,-0.044133,-0.10248,-0.11791,0.00406,-0.002867,CYT
-0.057556,0.012167,0.033003,0.108221,-0.029972,0.014231,-0.077758,CYT
-0.142419,-0.119324,-0.011626,0.059487,0.036831,0.004828,0.045828,NUC
0.089702,0.070878,0.06272,-0.102113,-0.126966,0.009464,0.02084,NUC
0.109666,0.024788,-0.033563,-0.107227,-0.0761,0.002914,0.039504,CYT
0.069975,0.003533,-0.315525,-0.058522,-0.100625,-0.010644,0.021864,ME3
0.012804,0.090386,0.055762,-0.03366,-0.029507,0.009495,0.029085,NUC
0.306408,0.00381,0.020726,0.024595,-0.02671,0.007913,0.014705,CYT
0.124157,-0.097032,0.080285,0.131714,0.023632,0.005682,0.157643,NUC
0.130677,0.048838,0.079912,-0.010587,-0.06796,0.012662,-0.01573,CYT
