@relation yeast-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RandomProjection-N7-R52-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
-1.835974,-0.6755,-1.870615,0,-0.138564,0.831384,1.056551,MIT
-1.610807,-1.004589,-1.991858,0,-0.103923,0.69282,1.385641,MIT
-1.835974,-0.796743,-1.922576,0,-0.34641,0.814064,1.177795,MIT
-2.009179,-0.779423,-1.749371,0,-0.536936,0.536936,1.160474,NUC
-1.143154,-1.385641,-1.593487,0,-0.866025,-0.173205,1.766692,MIT
-1.922576,-0.762102,-1.662769,0,0.398372,0.398372,1.143154,CYT
-0.952628,-1.662769,-1.766692,0,-1.108513,-0.190526,2.04382,MIT
-2.130422,-0.762102,-1.801333,0,-0.536936,0.433013,1.351,NUC
-1.766692,-1.091192,-2.009179,0,-0.69282,0.242487,1.472243,MIT
-2.165064,-0.744782,-1.71473,0,-0.415692,0.415692,1.264397,CYT
-1.905256,-0.814064,-1.610807,0,-0.484974,0.311769,1.281718,NUC
-2.04382,-0.744782,-1.662769,0,-0.467654,0.294449,1.247077,NUC
-1.680089,-1.091192,-1.71473,0,-0.623538,0.121244,1.524205,CYT
-1.351,-1.333679,-1.593487,0,-1.195115,-0.103923,1.71473,MIT
-1.69741,-0.744782,-1.732051,0,-0.450333,0.623538,1.125833,MIT
-1.957217,-0.6755,-1.662769,0,-0.225167,0.571577,1.056551,CYT
-2.234346,-0.34641,-1.541525,0,-0.311769,0.484974,1.03923,CYT
-2.06114,-0.623538,-1.749371,0,-0.398372,0.623538,1.073872,NUC
-1.835974,-0.831384,-1.541525,0,-0.623538,0.225167,1.212436,NUC
-1.887935,-0.796743,-1.991858,0,-0.381051,0.6755,1.229756,NUC
-1.835974,-0.762102,-1.558846,0,-0.363731,0.415692,1.143154,CYT
-1.69741,-0.883346,-1.593487,0,-0.381051,0.381051,1.264397,CYT
-1.454923,-0.987269,-1.818653,0,-0.6755,0.571577,1.36832,CYT
-1.922576,-0.796743,-1.818653,0,-0.138564,0.69282,1.177795,CYT
-1.887935,-0.883346,-1.818653,0,-0.277128,0.658179,1.264397,CYT
-1.264397,-1.437602,-1.784012,0,-0.952628,0,1.818653,MIT
-1.922576,-0.883346,-1.69741,0,-0.727461,0.450333,1.351,CYT
-1.974538,-0.814064,-1.853294,0,-0.502295,0.502295,1.195115,CYT
-1.818653,-0.883346,-2.147743,0,-0.32909,0.744782,1.264397,MIT
-1.385641,-1.073872,-2.147743,0,-0.640859,0.848705,1.645448,ME1
-1.991858,-0.606218,-1.680089,0,-0.277128,0.762102,1.160474,NUC
-0.484974,-2.026499,-1.628128,0,-1.541525,-0.623538,2.407551,MIT
-2.528794,-0.311769,-2.113102,0,0.138564,0.848705,1.125833,CYT
-1.385641,-1.247077,-1.835974,0,-0.381051,0.207846,1.628128,NUC
-1.524205,-0.814064,-2.009179,0,-0.398372,0.831384,1.195115,ME1
-1.472243,-0.935307,-1.974538,0,-0.571577,0.571577,1.316359,EXC
-1.558846,-1.02191,-1.835974,0,-0.779423,0.536936,1.454923,MIT
-1.991858,-0.831384,-1.766692,0,-0.32909,0.467654,1.281718,CYT
-1.229756,-1.247077,-1.662769,0,-0.866025,0.155885,1.628128,MIT
-1.576166,-1.125833,-1.835974,0,-0.710141,0.32909,1.506884,MIT
-1.506884,-0.969948,-1.853294,0,-0.796743,0.762102,1.351,ME2
-1.437602,-1.264397,-2.165064,0,-0.987269,0.588897,1.645448,ME2
-1.472243,-1.125833,-1.69741,0,-1.02191,0.502295,1.506884,ME2
-1.576166,-0.848705,-1.610807,0,-0.138564,0.588897,1.229756,ME3
-1.974538,-0.69282,-1.593487,0,-0.294449,0.311769,1.143154,VAC
-1.835974,-0.848705,-1.541525,0,-1.004589,-0.138564,1.489564,NUC
-1.662769,-0.900666,-2.303628,0,-0.623538,0.484974,1.506884,ME2
-1.645448,-0.952628,-1.576166,0,-0.640859,0.173205,1.333679,EXC
-1.645448,-1.108513,-1.870615,0,-0.917987,0.502295,1.489564,VAC
-1.558846,-0.762102,-1.004589,0,-0.588897,0.138564,1.143154,ME3
-1.870615,-0.779423,-1.558846,0,-0.554256,0.311769,1.264397,CYT
-2.546115,0,-1.69741,0,-0.069282,0.6755,1.143154,ME3
-1.732051,-1.03923,-1.749371,0,-0.814064,0.051962,1.69741,NUC
-1.784012,-0.969948,-1.835974,0,-0.623538,0.363731,1.351,CYT
-1.818653,-0.814064,-1.991858,0,-0.415692,0.623538,1.195115,CYT
-1.835974,-0.779423,-1.939897,0,-0.433013,0.588897,1.160474,CYT
-1.922576,-0.640859,-1.922576,0,-0.225167,0.900666,1.02191,CYT
-1.558846,-1.143154,-1.645448,0,-0.814064,0.190526,1.524205,CYT
-1.835974,-0.814064,-1.766692,0,-0.138564,0.519615,1.195115,CYT
-0.917987,-1.680089,-1.835974,0,-0.969948,-0.155885,2.06114,MIT
-1.247077,-1.454923,-1.506884,0,-1.108513,-0.294449,1.835974,MIT
-1.801333,-0.658179,-1.36832,0,-0.311769,0.242487,1.091192,NUC
-1.939897,-0.710141,-1.628128,0,-0.6755,0.190526,1.454923,NUC
-2.026499,-0.866025,-1.818653,0,-0.381051,0.467654,1.333679,NUC
-1.957217,-0.571577,-1.593487,0,-0.277128,0.69282,1.03923,CYT
-1.766692,-0.762102,-1.593487,0,-0.623538,0.433013,1.264397,CYT
-2.078461,-0.727461,-1.784012,0,-0.034641,0.640859,1.108513,CYT
-1.991858,-0.710141,-1.887935,0,-0.121244,0.727461,1.091192,CYT
-2.009179,-0.866025,-1.69741,0,-0.519615,0.415692,1.247077,CYT
-1.420282,-1.229756,-2.286307,0,-0.6755,0.831384,1.610807,EXC
-1.732051,-1.004589,-1.628128,0,-0.623538,0.311769,1.385641,CYT
-1.749371,-0.952628,-1.732051,0,-0.710141,0.415692,1.454923,CYT
-0.952628,-1.489564,-1.628128,0,-1.177795,-0.190526,1.870615,MIT
-1.03923,-1.576166,-1.887935,0,-0.917987,-0.190526,1.957217,MIT
-1.853294,-0.779423,-1.853294,0,-0.242487,0.450333,1.160474,MIT
-1.316359,-1.247077,-1.69741,0,-0.935307,-0.225167,1.680089,MIT
-1.489564,-1.177795,-1.853294,0,-0.866025,0.225167,1.558846,MIT
-1.316359,-1.351,-1.853294,0,-0.883346,0,1.818653,MIT
-1.576166,-0.969948,-2.009179,0,-0.588897,0.294449,1.351,MIT
-1.281718,-1.299038,-1.870615,0,-0.571577,0.138564,1.680089,MIT
-1.333679,-1.402961,-1.732051,0,-0.969948,-0.086603,1.784012,MIT
-1.247077,-1.212436,-1.801333,0,-0.588897,0.207846,1.593487,MIT
-1.299038,-1.610807,-1.974538,0,-1.073872,-0.051962,1.991858,MIT
-1.69741,-1.056551,-1.991858,0,-0.606218,0.259808,1.437602,MIT
-1.195115,-1.229756,-1.766692,0,0.606218,0.32909,1.610807,MIT
-1.385641,-0.727461,-1.36832,0,0.277128,0.779423,1.108513,ME3
-1.576166,-0.848705,-1.36832,0,-0.277128,0.484974,1.229756,ME3
-1.524205,-1.004589,-1.870615,0,-0.814064,0.588897,1.385641,EXC
-1.974538,-0.796743,-1.922576,0,-0.502295,0.381051,1.402961,NUC
-1.610807,-1.073872,-1.71473,0,-0.6755,0.103923,1.628128,CYT
-1.71473,-1.108513,-1.870615,0,-0.640859,0,1.680089,CYT
-1.766692,-0.814064,-1.472243,0,-0.554256,0.277128,1.281718,MIT
-1.870615,-0.744782,-1.749371,0,-0.173205,0.433013,1.125833,CYT
-2.598076,-0.277128,-1.853294,0,-0.138564,0.467654,1.177795,NUC
-1.766692,-0.814064,-1.905256,0,-0.225167,0.623538,1.299038,CYT
-1.437602,-0.814064,-1.506884,0,-0.121244,0.415692,1.195115,ME3
